fecha,dia_semana,semana,mes,anio,ocupacion_deseada,ocupacion_albergue,capacidad_albergue,porcentaje_ocupacion,pacientes_total,pacientes_prioridad_baja,pacientes_prioridad_media,pacientes_prioridad_alta,pacientes_estadio_0_I,pacientes_estadio_II,pacientes_estadio_III_IV,pacientes_quimioterapia,pacientes_cirugia,pacientes_paliativos,pacientes_soporte_nutricional,pacientes_con_anemia,pacientes_con_vomitos,pacientes_dolor_alto,pacientes_desnutricion,pacientes_quimio_curativa,pacientes_quimio_avanzada,pacientes_flot_estimado,pacientes_folfox_capox_estimado,pacientes_her2_positivo_estimado,item_id,item_nombre,categoria_item,tipo_stock,unidad_medida,stock_actual,stock_minimo,ingresos_stock,salidas_stock,stock_cierre,consumo_diario,consumo_lag_1,consumo_lag_7,consumo_promedio_7d,consumo_promedio_14d,demanda_7_dias,demanda_14_dias,stock_proyectado_7d,stock_proyectado_14d,stock_critico_7d,stock_critico_14d,stock_critico,ratio_stock_minimo,dias_cobertura,neto_movimiento,variabilidad_consumo,es_ocupacion_alta,ratio_pacientes_alta_prioridad
2025-03-14,viernes,11,3,2025,51,51,100,0.51,51,12,20,19,11,19,21,27,30.0,3,44,35,22,14.0,12.0,23,6,9,18,1.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,260.0,70,0,22,238,22,22.0,22.0,22.0,22.0,64.0,110.0,196,150.0,no,no,no,3.6619718309859155,11.304347826086957,-22,0.0,0,0.36538461538461536
2025-03-15,sabado,11,3,2025,50,50,100,0.5,50,18,16,16,17,14,19,21,30.0,6,40,32,21,13.0,12.0,15,9,5,16,2.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,238.0,70,0,18,220,18,22.0,22.0,22.0,22.0,48.0,115.0,190,123.0,no,no,no,3.352112676056338,12.526315789473685,-18,0.17391304347826086,0,0.3137254901960784
2025-03-16,domingo,11,3,2025,52,52,100,0.52,52,14,20,18,16,15,21,23,27.0,6,40,37,22,13.0,16.0,17,9,8,15,2.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,220.0,70,0,22,198,22,18.0,22.0,20.0,20.0,30.0,112.0,190,108.0,no,no,no,3.0985915492957745,9.565217391304348,-22,0.09523809523809523,0,0.33962264150943394
2025-03-17,lunes,12,3,2025,56,56,100,0.56,56,20,18,18,19,19,18,25,32.0,5,40,36,18,17.0,12.0,18,7,4,21,1.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,198.0,70,0,8,190,8,22.0,22.0,20.67,20.67,29.0,111.0,169,87.0,no,no,no,2.788732394366197,22.0,-8,0.5846792801107522,0,0.3157894736842105
2025-03-18,martes,12,3,2025,56,56,100,0.56,56,14,23,19,14,19,23,22,29.0,8,39,36,23,15.0,12.0,17,12,6,16,2.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,190.0,70,0,2,188,2,8.0,22.0,17.5,17.5,32.0,112.0,158,78.0,no,no,no,2.676056338028169,63.333333333333336,-2,0.8378378378378378,0,0.3333333333333333
2025-03-19,miercoles,12,3,2025,53,53,100,0.53,53,17,21,15,17,18,18,23,34.0,8,42,33,15,16.0,12.0,19,10,7,16,1.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,188.0,70,0,7,181,7,2.0,22.0,14.4,14.4,29.0,110.0,159,78.0,no,no,no,2.647887323943662,23.5,-7,0.4805194805194805,0,0.2777777777777778
2025-03-20,jueves,12,3,2025,55,55,100,0.55,55,17,16,22,16,14,25,28,28.0,11,43,38,21,20.0,11.0,20,14,6,22,3.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,181.0,70,0,3,178,3,7.0,22.0,13.17,13.17,29.0,108.0,152,73.0,no,no,no,2.5492957746478875,45.25,-3,0.7177134791813691,0,0.39285714285714285
2025-03-21,viernes,12,3,2025,54,54,100,0.54,54,18,18,18,17,16,21,23,31.0,8,41,31,23,13.0,11.0,19,10,5,18,2.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,178.0,70,0,4,174,4,3.0,22.0,11.71,11.71,46.0,111.0,132,67.0,no,si,si,2.507042253521127,35.6,-4,0.6066089693154997,0,0.32727272727272727
2025-03-22,sabado,12,3,2025,57,57,100,0.57,57,19,19,19,18,19,20,23,32.0,8,43,34,24,18.0,10.0,19,10,4,19,2.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,174.0,70,0,2,172,2,4.0,18.0,9.14,10.75,67.0,116.0,107,58.0,no,si,si,2.4507042253521125,58.0,-2,0.7041420118343196,0,0.3275862068965517
2025-03-23,domingo,12,3,2025,60,60,100,0.6,60,17,24,19,18,20,22,23,35.0,10,46,36,26,16.0,8.0,18,12,7,16,3.0,ITEM001,fluorouracilo_5fu,fluoropirimidina_iv,antineoplasico,viales,172.0,70,0,4,168,4,2.0,22.0,6.86,9.78,82.0,116.0,90,56.0,no,si,si,2.4225352112676055,34.4,-4,0.36386768447837153,0,0.3114754098360656
